route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
381,72969,72,Westbound Pittsburg Marina,1,116,28,,,
381,72969,111,Westbound Pittsburg Marina,1,119,28,,,
381,72969,74,Westbound Pittsburg Marina,1,116,28,,,
381,72969,113,Westbound Pittsburg Marina,1,119,28,,,
381,72969,76,Westbound Pittsburg Marina,1,116,28,,,
391,72969,309,Westbound Pittsburg Center BART,0,103,47,,,
391,72969,347,Westbound Pittsburg Center BART,0,108,47,,,
391,72969,42,Westbound Pittsburg Center BART,0,115,47,,,
391,72969,162,Westbound Pittsburg Center BART,0,127,47,,,
391,72969,319,Westbound Pittsburg Center BART,0,104,47,,,
391,72969,312,Westbound Pittsburg Center BART,0,103,47,,,
391,72969,195,Westbound Pittsburg Center BART,0,132,47,,,
391,72969,247,Westbound Pittsburg Center BART,0,137,47,,,
391,72969,137,Westbound Pittsburg Center BART,0,123,47,,,
391,72969,238,Westbound Pittsburg Center BART,0,136,47,,,
391,72969,36,Westbound Pittsburg Center BART,0,113,47,,,
391,72969,274,Westbound Pittsburg Center BART,0,142,47,,,
391,72969,21,Westbound Pittsburg Center BART,0,111,47,,,
391,72969,283,Westbound Pittsburg Center BART,0,144,47,,,
391,72969,293,Westbound Pittsburg Center BART,0,146,47,,,
391,72969,328,Westbound Pittsburg Center BART,0,104,47,,,
391,72969,279,Westbound Pittsburg Center BART,0,143,47,,,
391,72969,289,Westbound Pittsburg Center BART,0,145,47,,,
391,72969,340,Westbound Pittsburg Center BART,0,105,47,,,
391,72969,148,Eastbound Brentwood Park & Ride,1,125,48,,,
391,72969,43,Eastbound Brentwood Park & Ride,1,115,48,,,
391,72969,80,Eastbound Brentwood Park & Ride,1,118,48,,,
391,72969,152,Eastbound Brentwood Park & Ride,1,126,48,,,
391,72969,82,Eastbound Brentwood Park & Ride,1,118,48,,,
391,72969,252,Eastbound Brentwood Park & Ride,1,138,48,,,
391,72969,167,Eastbound Brentwood Park & Ride,1,127,48,,,
391,72969,207,Eastbound Brentwood Park & Ride,1,133,48,,,
391,72969,282,Eastbound Brentwood Park & Ride,1,144,48,,,
391,72969,354,Eastbound Brentwood Park & Ride,1,108,48,,,
391,72969,277,Eastbound Brentwood Park & Ride,1,143,48,,,
391,72969,284,Eastbound Brentwood Park & Ride,1,144,48,,,
391,72969,338,Eastbound Brentwood Park & Ride,1,105,48,,,
391,72969,329,Eastbound Brentwood Park & Ride,1,104,48,,,
391,72969,11,Eastbound Brentwood Park & Ride,1,109,48,,,
391,72969,290,Eastbound Brentwood Park & Ride,1,145,48,,,
391,72969,341,Eastbound Brentwood Park & Ride,1,105,48,,,
391,72969,246,Eastbound Brentwood Park & Ride,1,136,48,,,
392,72970,2875,Eastbound Antioch BART,0,205,87,,,
392,72971,2980,Eastbound Antioch BART,0,303,87,,,
392,72970,2863,Eastbound Antioch BART,0,204,87,,,
392,72971,2981,Eastbound Antioch BART,0,303,87,,,
392,72970,2129,Eastbound Antioch BART,0,210,62,,,
392,72971,3021,Eastbound Antioch BART,0,307,62,,,
392,72970,2092,Eastbound Antioch BART,0,206,62,,,
392,72971,3048,Eastbound Antioch BART,0,310,62,,,
392,72970,2877,Eastbound Antioch BART,0,205,62,,,
392,72971,2992,Eastbound Antioch BART,0,304,62,,,
392,72970,2865,Eastbound Antioch BART,0,204,62,,,
392,72971,3015,Eastbound Antioch BART,0,306,62,,,
392,72970,2852,Eastbound Antioch BART,0,202,62,,,
392,72971,2983,Eastbound Antioch BART,0,303,62,,,
392,72970,2897,Eastbound Antioch BART,0,207,62,,,
392,72971,3050,Eastbound Antioch BART,0,310,62,,,
392,72970,2929,Eastbound Antioch BART,0,212,62,,,
392,72971,3024,Eastbound Antioch BART,0,307,62,,,
392,72970,2911,Eastbound Antioch BART,0,209,62,,,
392,72971,3072,Eastbound Antioch BART,0,312,62,,,
392,72970,2882,Eastbound Antioch BART,0,205,62,,,
392,72971,3037,Eastbound Antioch BART,0,308,62,,,
392,72970,2870,Eastbound Antioch BART,0,204,62,,,
392,72971,2985,Eastbound Antioch BART,0,303,62,,,
392,72970,2956,Eastbound Antioch BART,0,217,62,,,
392,72971,2979,Eastbound Antioch BART,0,301,62,,,
392,72970,2968,Eastbound Antioch BART,0,219,62,,,
392,72971,3074,Eastbound Antioch BART,0,312,62,,,
392,72970,2895,Eastbound Antioch BART,0,206,62,,,
392,72971,3055,Eastbound Antioch BART,0,310,62,,,
392,72970,2907,Eastbound Antioch BART,0,208,62,,,
392,72971,3064,Eastbound Antioch BART,0,311,62,,,
392,72970,2886,Eastbound Antioch BART,0,205,62,,,
392,72971,3030,Eastbound Antioch BART,0,307,62,,,
392,72970,2947,Eastbound Antioch BART,0,215,62,,,
392,72970,2849,Westbound Pittsburg-Bay Point BART,1,202,71,,,
392,72970,2099,Westbound Pittsburg-Bay Point BART,1,207,71,,,
392,72971,3031,Westbound Pittsburg-Bay Point BART,1,308,71,,,
392,72970,2149,Westbound Pittsburg-Bay Point BART,1,212,71,,,
392,72971,3057,Westbound Pittsburg-Bay Point BART,1,311,71,,,
392,72970,1711,Westbound Pittsburg-Bay Point BART,1,209,71,,,
392,72971,2982,Westbound Pittsburg-Bay Point BART,1,303,71,,,
392,72970,2902,Westbound Pittsburg-Bay Point BART,1,208,71,,,
392,72971,3075,Westbound Pittsburg-Bay Point BART,1,313,71,,,
392,72970,2922,Westbound Pittsburg-Bay Point BART,1,211,71,,,
392,72971,3023,Westbound Pittsburg-Bay Point BART,1,307,71,,,
392,72970,2935,Westbound Pittsburg-Bay Point BART,1,213,71,,,
392,72971,3071,Westbound Pittsburg-Bay Point BART,1,312,71,,,
392,72970,2942,Westbound Pittsburg-Bay Point BART,1,215,71,,,
392,72971,3044,Westbound Pittsburg-Bay Point BART,1,309,71,,,
392,72970,2904,Westbound Pittsburg-Bay Point BART,1,208,71,,,
392,72971,2984,Westbound Pittsburg-Bay Point BART,1,303,71,,,
392,72970,2924,Westbound Pittsburg-Bay Point BART,1,211,71,,,
392,72971,2995,Westbound Pittsburg-Bay Point BART,1,304,71,,,
392,72970,2937,Westbound Pittsburg-Bay Point BART,1,213,71,,,
392,72971,3018,Westbound Pittsburg-Bay Point BART,1,306,71,,,
392,72970,2944,Westbound Pittsburg-Bay Point BART,1,215,71,,,
392,72971,3046,Westbound Pittsburg-Bay Point BART,1,309,71,,,
392,72970,2906,Westbound Pittsburg-Bay Point BART,1,208,71,,,
392,72971,3063,Westbound Pittsburg-Bay Point BART,1,311,71,,,
392,72970,2926,Westbound Pittsburg-Bay Point BART,1,211,71,,,
392,72971,3082,Westbound Pittsburg-Bay Point BART,1,313,71,,,
392,72970,2946,Westbound Pittsburg-Bay Point BART,1,215,71,,,
392,72971,2988,Westbound Pittsburg-Bay Point BART,1,303,71,,,
388,72969,32,Eastbound Kaiser,0,113,54,,,
388,72969,300,Eastbound Kaiser,0,101,54,,,
388,72969,360,Eastbound Kaiser,0,109,54,,,
388,72969,116,Eastbound Kaiser,0,120,54,,,
388,72969,127,Eastbound Kaiser,0,121,54,,,
388,72969,332,Eastbound Kaiser,0,105,54,,,
388,72969,304,Eastbound Kaiser,0,101,54,,,
388,72969,3103,Eastbound Kaiser,0,103,54,,,
388,72969,188,Eastbound Kaiser,0,130,54,,,
388,72969,48,Eastbound Kaiser,0,115,54,,,
388,72969,265,Eastbound Kaiser,0,140,54,,,
388,72969,255,Eastbound Kaiser,0,138,54,,,
388,72969,243,Eastbound Kaiser,0,136,54,,,
388,72969,147,Eastbound Kaiser,0,124,54,,,
388,72969,357,Eastbound Kaiser,0,108,54,,,
388,72969,280,Eastbound Kaiser,0,143,54,,,
388,72969,15,Westbound Pittsburg-Bay Point BART,1,111,60,,,
388,72969,115,Westbound Pittsburg-Bay Point BART,1,120,60,,,
388,72969,33,Westbound Pittsburg-Bay Point BART,1,113,60,,,
388,72969,301,Westbound Pittsburg-Bay Point BART,1,101,60,,,
388,72969,361,Westbound Pittsburg-Bay Point BART,1,109,60,,,
388,72969,117,Westbound Pittsburg-Bay Point BART,1,120,60,,,
388,72969,128,Westbound Pittsburg-Bay Point BART,1,121,60,,,
388,72969,333,Westbound Pittsburg-Bay Point BART,1,105,60,,,
388,72969,305,Westbound Pittsburg-Bay Point BART,1,101,60,,,
388,72969,3104,Westbound Pittsburg-Bay Point BART,1,103,60,,,
388,72969,285,Westbound Pittsburg-Bay Point BART,1,145,60,,,
388,72969,294,Westbound Pittsburg-Bay Point BART,1,147,60,,,
388,72969,49,Westbound Pittsburg-Bay Point BART,1,115,60,,,
388,72969,266,Westbound Pittsburg-Bay Point BART,1,140,60,,,
